"INTERNAL_VALUE","DESCR"
1233,Senegal
1234,St Helena
1235,Saipan
1236,Saskatchewan
1237,Sierra Leone
1238,San Marino
1239,Singapore
1240,Somalia
1241,St Lucia
1242,Sudan
1243,Sweden
1244,Syria
1245,Switzerland
1246,Un Arab Emirate
1247,Trinidad-Tobago
1248,Thailand
1249,Turks Caicos Is
1250,Tokelau Is
1251,Togo
1252,Sao Tome/Princi
1253,Trust Ter Pa Is
1254,Tunisia
1255,Turkey
1256,Tuvalu
1257,China (Taiwan)
1258,Tanzania
1259,Uganda
1260,United Kingdom
1261,Russia
1262,United States
1263,Upper Volta
1264,Uruguay
1265,St Vincent
1266,Venezuela
1267,Brit Virgin Is
1268,Vietnam
1269,Virgin Island
1270,Vitican City
1271,Wallis/Futuna
1272,Wake Island
1273,Western Samoa
1274,Swaziland
1275,Yeman (North)
1276,Yukon Terr
1277,Yugoslavia
1278,Yemen (South)
1279,Zambia
1280,Guam
1281,Foreign Country
1282,Fed States-Micronesia
1283,Guam
1284,American Samoa
1285,AP
